Ulasan,stemming,Errors
kenapa susah sekali loginnya? sudah ketik buat password beberapa kali tapi tidak bisa log in,"['sulit', 'loginnya', 'ketik', 'password', 'log']",-1
Loginnya susah..otp sms smp 4x..otp email smp 2x..pas bikin code pasword malah eror terus.,"['loginnya', 'susahotp', 'sms', 'xotp', 'email', 'xpas', 'code', 'pasword', 'eror']",-1
"Ga bisa login, masih erroe","['login', 'erroe']",-1
Susah sekali untuk sign in,"['sulit', 'sign']",-1
gabisa login mulu. aplikasi masih nge bug gini udah di launching aje,"['enggak bisa', 'login', 'mulu', 'aplikasi', 'bug', 'launching']",-1
"Mau daftar aja ""internal server error"" terus. Gada pilihan bahasa Indonesia lagi. Aplikasinya kayak nggak selevel sama Starbucks gitu.","['daftar', 'internal', 'server', 'error', 'enggak ada', 'pilih', 'bahasa', 'indonesia', 'aplikasi', 'level', 'starbucks']",-1
Mau log in aja susah hadehh,"['log', 'sulit', 'hadehh']",-1
Cara order minum di tangerang gimana ia....,"['order', 'minum', 'tangerang']",0
Referral code nya apa ya ?? Gk paham saya,"['referral', 'code', 'paham']",0
Susah sig in,['sulit'],-1
"Woii..kamu niat gak sih bikin aplikasi ini kok sy udah daftar 2 nomor hp saya yg berbeda dan email semua sukses pd saat join daftar ,masalahnya trouble ada di login pdhl waktu daftar join sukses semua giliran mau login ga bisa...anehh..aplikasi guoblokk taiii","['woiikamu', 'niat', 'aplikasi', 'daftar', 'nomor', 'handphone', 'beda', 'email', 'sukses', 'join', 'daftar', 'trouble', 'login', 'daftar', 'join', 'sukses', 'gilir', 'login', 'bisaanehhaplikasi', 'guoblokk', 'taii']",-1
Atur passcode ga bisa bisa,"['atur', 'passcode']",-1
OTP incorrect mulu pdhl udah bener. Susah juga yg mau daftar🥲,"['otp', 'incorrect', 'mulu', 'sulit', 'daftar']",-1
Ga bisa daftar,['daftar'],-1
Servernya Eror nih perbaikin dlu,"['servernya', 'eror', 'baik']",-1
"Mau tnya untuk order lgsg mlalui apk ini,hny di daerah jakarta dan skitaranya??bisa tidak order lgsg lwat apk ini utk daerah lampung???","['order', 'mlalui', 'apk', 'inihny', 'daerah', 'jakarta', 'skitaranyabisa', 'order', 'lwat', 'apk', 'daerah', 'lampung']",-1
Setelah berhasil daftar Mala keluar sndri trus pas dibuka lg Mala stuck di logo awal doang gimna dong😔,"['hasil', 'daftar', 'mala', 'pas', 'buka', 'mala', 'stuck', 'logo', 'doang']",-1
"Halo pihak starbucks, kenapa yaa saya gabisa sign in? Tulisannya something wrong terus padahal saya sudah daftar klik join dan sucsses tulisannya. Pas mau sign in gabisa?","['starbucks', 'enggak bisa', 'sign', 'tulis', 'something', 'wrong', 'daftar', 'klik', 'join', 'sucsses', 'tulis', 'pas', 'sign', 'enggak bisa']",-1
Niat engga sih ngasih reward. Engga profesional untuk sekelas starbucks,"['niat', 'asih', 'reward', 'profesional', 'kelas', 'starbucks']",-1
"Aplikasi gagal, harus banyak perbaikan, gak recomended sih untuk sekelas starbucks","['aplikasi', 'gagal', 'baik', 'recomended', 'kelas', 'starbucks']",0
"Ribett sekali, pengguna baru nggak bisa loginn","['ribett', 'guna', 'loginn']",-1
Aplikasi ga bisa dibuka smpah.,"['aplikasi', 'buka', 'smpah']",-1
Aplikasi apaan si login aja susah bet,"['aplikasi', 'login', 'sulit', 'banget']",-1
Kesel banget ama apk ini eror terus ga bisa log in sama sekali!!🙄🙄,"['kesel', 'banget', 'apk', 'eror', 'log']",-1
"sudah daftar pas mau login sama pasword internal server error,tolong dong diperbaiki aplikasinya","['daftar', 'pas', 'login', 'pasword', 'internal', 'server', 'errortolong', 'baik', 'aplikasi']",-1
LOL banyakan error,"['lol', 'banyak', 'error']",-1
G bsa log in,['log'],-1
Apa apaan saya baru download gabisa login dengan alasan server error gimana si,"['download', 'enggak bisa', 'login', 'alas', 'server', 'error']",-1
Login gagal? Pengguna baru ga diterima disini bro,"['login', 'gagal', 'guna', 'terima']",-1
"Saya baru daftar, udh berhasil dapat balasan email, trus pas saya mau log in knp gak bisa ya ?","['daftar', 'hasil', 'balas', 'email', 'pas', 'log']",-1
Kok udh forgot Password tp gak ada email buat resetnya ya,"['forgot', 'password', 'email', 'resetnya']",-1
"Aplikasi jelek, sudah joint, tapi saat login selalu dibilang invalid username/password","['aplikasi', 'jelek', 'joint', 'login', 'bilang', 'invalid', 'usernamepassword']",-1
"SUSAH BANGET BUAT REGISTER, SUSAH VERIFIKASI SEMUA TETEP AJA GABISA, MENDING GAUSAH DONLOT DEH","['sulit', 'banget', 'register', 'sulit', 'verifikasi', 'enggak bisa', 'mending', 'enggak usah', 'download']",-1
"Baru buka aplikasi nya udh eror,,dr smlm udh dicoba bbrpa kali ttp ga bisa","['buka', 'aplikasi', 'erordr', 'smlm', 'coba']",-1
ada promo sampai tanggal 30 Desember kan min?,"['promo', 'tanggal', 'desember']",0
"Ketika melakukan registrasi terdapat notifikasi gagal karena internal server error, tp saat dilakukan registrasi ulang tidak dapat karena email/no telp sudah terdaftar, tapi dicoba lupa password juga tidak masuk di email.","['registrasi', 'notifikasi', 'gagal', 'internal', 'server', 'error', 'registrasi', 'ulang', 'emailno', 'telp', 'daftar', 'coba', 'lupa', 'password', 'email']",-1
kenapa saya mengalami kesulitan untuk login padahal emaik dan pw sudah benar,"['alami', 'sulit', 'login', 'emaik', 'pw']",-1
"Email nya udah pas, waktu mau sign up eh ga bisa pass nya jg udah pas","['email', 'pas', 'sign', 'up', 'pas', 'pas']",-1
server eror trus kalo mau login,"['server', 'eror', 'login']",-1
Bru aja buat akun pas mau login malah gbs pdhal email sm password sama. Jelek bgt apknya tlg dibantu ya,"['akun', 'pas', 'login', 'enggak bisa', 'email', 'password', 'jelek', 'banget', 'apknya', 'tokamung', 'bantu']",-1
"Gak bisa login gimana lah udah daftar, sistem error terus","['login', 'daftar', 'sistem', 'error']",-1
code referrel nya apa ya,"['code', 'referrel']",0
"tolong di perbaiki app nya, gak jelas ribet bgt, sudah berhasil join pas mau sigh up email atau pwd salah terus. Capek 👎","['tolong', 'baik', 'app', 'ribet', 'banget', 'hasil', 'join', 'pas', 'sigh', 'up', 'email', 'pwd', 'salah', 'capek']",-1
ribet,['ribet'],0
Saya ingin daftar kok servis gangguan terus iya knpa kira²,"['daftar', 'servis', 'ganggu']",-1
Ga bisa login.. notifikasi nya internal eror..keburu abis promonya..hehe,"['login', 'notifikasi', 'internal', 'erorkeburu', 'habis', 'promonyahehe']",-1
Ga bisa daftar akun,"['daftar', 'akun']",-1
Saya tidak bisa masuk ke akun pribadi saya,"['akun', 'pribadi']",-1
APLIKASI NYA NIPU,"['aplikasi', 'nipu']",0
Udh join now tapi gak nerima2 email dan pas sign in gak bisa2:(,"['join', 'now', 'terima', 'email', 'pas', 'sign']",-1
"Pendaftaran akun sudah berhasil, akan tetapi pada saat sign in muncul kata ""Internal Server Error"" itu terus. Tolong diperbaiki secepatnya ya, terimakasih 😊","['daftar', 'akun', 'hasil', 'sign', 'muncul', 'internal', 'server', 'error', 'tolong', 'baik', 'cepat', 'terimakasih']",-1
Aplikasi cacad udh berhasil daftar malah ga bisa masuk.,"['aplikasi', 'cacad', 'hasil', 'daftar']",-1
difficult to login sometimes,"['difficult', 'login', 'sometimes']",-1
gabisa login. internal sever error mulu ckckck. gabisa login tiba2 ada tulisan akun gue diblock. aneh banget. dari 2 tahun lalu juga gue uda pake app ini dan ternyata masih sama masalahnya. gaada perkembangan.,"['enggak bisa', 'login', 'internal', 'sever', 'error', 'mulu', 'enggak bisa', 'login', 'tulis', 'akun', 'diblock', 'aneh', 'banget', 'pakai', 'app', 'enggak ada', 'kembang']",-1
Server error teross kenapa yee?,"['server', 'error', 'teross']",-1
"Mau join aja susah banget , internal eror trus 😌","['join', 'sulit', 'banget', 'internal', 'eror']",-1
BENER BENER ANEH BANGET NI APLIKASI. UDAH MASUKIN KODE OTP YG BENER BERKALI2 TETEP AJA GAK BISA LOGIN. CCD,"['aneh', 'banget', 'aplikasi', 'masuk', 'kode', 'otp', 'kali', 'login', 'ccd']",-1
"Ribet daftarnya gak bisa2, email saya belom pernah daftar sama sekali. Males ahh uninstal bae","['ribet', 'daftar', 'email', 'bom', 'daftar', 'malas', 'uninstal', 'bae']",-1
"Mau masuk ribet bgt, Padahal sudah finish tinggal Masuk suruh verif kode lewat email, setelah dapat kode dari email, di masukin kode nya ga bisa, katanya ga valid, HELOOOO itu kan yg ngirim kode nya juga Starbucks, di masukin td ga valid terus katanya, ANJJingg Nyesel bgt download nya, buang2 waktuuu!!!!","['ribet', 'banget', 'finish', 'tinggal', 'suruh', 'verif', 'kode', 'email', 'kode', 'email', 'masuk', 'kode', 'valid', 'heloo', 'kirim', 'kode', 'starbucks', 'masuk', 'valid', 'anjjingg', 'sesal', 'banget', 'download', 'buang', 'waktuu']",-1
Internal server error mulu,"['internal', 'server', 'error', 'mulu']",-1
Uda dftr tp mau log in gak bisa2.. bikin oasw utk log in malah katanya no connection.. aneh,"['daftar', 'log', 'oasw', 'log', 'connection', 'aneh']",-1
"Udah bikin akun tapi ga bs sign in,😞","['akun', 'sign']",-1
"Login aja susah banget tolong ditimgkatkan lagi, Progammernya tolong kerja yang bener","['login', 'sulit', 'banget', 'tolong', 'ditimgkatkan', 'progammernya', 'tolong']",-1
Sudah join..pas mau masuk eh eror Mulu... kecewa,"['joinpas', 'eror', 'mulu', 'kecewa']",-1
Gk bisa signup loooohhh huuuffttt,"['signup', 'loohh', 'huufftt']",-1
gk bisa login,['login'],-1
"Haloooo ini kenapa trouble di sign in yaaa? Saya sudah mau sign in, udh dapet otp di email, tp di laman aplikasi nya gaada kolom untuk input kode otp. Moon bantuan","['haloo', 'trouble', 'sign', 'sign', 'otp', 'email', 'laman', 'aplikasi', 'enggak ada', 'kolom', 'input', 'kode', 'otp', 'moon', 'bantu']",-1
LOADING MULU,"['loading', 'mulu']",-1
Gabisa masuk padahal udah daftar pas udah mau login malah gabisa tertulis Server Error maunya gimana sih?,"['enggak bisa', 'daftar', 'pas', 'login', 'enggak bisa', 'tulis', 'server', 'error', 'mau']",-1
Ok,[],0
Mantappp banyak rewardnyaaa,"['mantap', 'rewardnyaa']",0
keep error,"['keep', 'error']",-1
Good,[],0
Keren bgt,"['keren', 'banget']",0
Good,[],0
"Terima kasih ya Starbucks, setelah update dgn versi yg ini, aplikasi Starbucks sy bisa di buka lagi... 👍👍👍","['terima', 'kasih', 'starbucks', 'versi', 'aplikasi', 'starbucks', 'buka']",0
Okeah,['okeah'],0
Keren,['keren'],0
Maintain Good Job Mike...,"['maintain', 'job', 'mike']",0
Serve n Kept goin,"['serve', 'kept', 'goin']",0
Bagus,['bagus'],0
Ok mantap keren bagus yuhhuuuu,"['mantap', 'keren', 'bagus', 'yuhhuu']",0
Bagus,['bagus'],0
Enak,[],0
Good,[],0
Suka ..pelayanan sangat baik,"['suka', 'layan']",0
Makin Croot dech suka sama Starbucks mantul lah... Banyakiiin promo yang Croot croot Biar Mantap,"['croot', 'suka', 'starbucks', 'mantul', 'banyakiin', 'promo', 'croot', 'croot', 'mantap']",1
Aplikasi nya tidak bisa dibuka setelah mengaktifkan airplane mode,"['aplikasi', 'buka', 'aktif', 'airplane', 'mode']",-1
Ribet login nyaa,"['ribet', 'login']",-1
Login gak bisa nih. Ga dikirimin kode verifikasi ke Gmail nya .. payah.,"['login', 'dikirimin', 'kode', 'verifikasi', 'gmail', 'payah']",-1
Interface bikin ribet lebih dari bank buat lebih efisien seperti gesture atau pin . setalah logout harus ini itu apk untuk minum bukan perbankan aman sih aman cuma terlalu ribet buat yg seefisien mungkin,"['interface', 'ribet', 'bank', 'efisien', 'gesture', 'seta', 'logout', 'apk', 'minum', 'perban', 'aman', 'aman', 'ribet', 'efisien']",0
Memudahkan sekali utk yg sering lupa naruh atau ketinggalan Starbuck Card. Tapi pricelist menunya belom ada. Semoga kedepannya ada dan semoga tambah laris hehe,"['mudah', 'lupa', 'naruh', 'tinggal', 'starbuck', 'card', 'pricelist', 'menu', 'bom', 'moga', 'depan', 'moga', 'laris']",-1
Good,[],0
"Kenapa mau buka app ga bisa?? Keterangan nya ga, ada signal padahal wifi full dan lancar banget ga ada masalah.. Payah banget nih applikasi.. Percuma download klo ga bisa di pake","['buka', 'app', 'terang', 'signal', 'wifi', 'full', 'lancar', 'banget', 'payah', 'banget', 'aplikasi', 'download', 'pakai']",-1
"Ga bisa login, orang passwordnya juga sama. Reset password ttp ga dpt email :))","['login', 'passwordnya', 'reset', 'password', 'email']",-1
"Sering log out, dan g bisa masuk lagi sampai sekarang, sudah lupa pasw diganti pas mau masuk dibilang invalid User Id or Pasword","['log', 'out', 'lupa', 'pasw', 'ganti', 'pas', 'bilang', 'invalid', 'user', 'id', 'pasword']",-1
Kok saya udah 3minggu ini ga bisa² login ya?,"['minggu', 'login']",-1
Daftar sejak 2016 tidak jadi jadi. Aplikasi starbucks indonesia 👎🏿👎🏿👎🏿👎🏿👎🏿. Pelanggan setiamu sampai sekarang.tapi aplikasimu yang mengekecewakan.,"['daftar', 'aplikasi', 'starbucks', 'indonesia', 'langgan', 'setia', 'sekarangtapi', 'aplikasi', 'kecewa']",0
Bagus,['bagus'],0
"Ribet, mau join aj di bikin ribet. Udah masukin 2 email eh ga bisa. Katanya ga valid. Padahal daftar apa aj pake email itu bisa2 aj. Pas tes pake email asal2an eh malah masuk. Tp Ujung2nya ga bisa verifikasi email gra2 Cuma ngasal...jgn bikin aplikasi dh kalau ribet.","['ribet', 'join', 'ribet', 'masuk', 'email', 'valid', 'daftar', 'pakai', 'email', 'pas', 'tes', 'pakai', 'email', 'asal', 'ujung', 'verifikasi', 'email', 'gra', 'ngasaljgn', 'aplikasi', 'ribet']",-1
Good,[],0
SETIAP MAU MASUKIN KODE PIN PAKAI PAKET DATA SELALU ERROR ! GAK NGERTI LG SKRNG SM APP STARBUCKS,"['masuk', 'kode', 'pakai', 'paket', 'data', 'error', 'erti', 'app', 'starbucks']",-1
Pin tidak terkirim saat melakukan sign in untuk mendaftarkan akun. Sudah dicoba resend code berkali-kali tapi tidak ada kode pin yang terkirim ke email...,"['kirim', 'sign', 'daftar', 'akun', 'coba', 'resend', 'code', 'berkalikali', 'kode', 'kirim', 'email']",-1
Mantap,['mantap'],0
Starbucknnya bagus banget,"['starbucknnya', 'bagus', 'banget']",0
Promonya kadang berbeda di semua outlet starbucks,"['promonya', 'kadang', 'beda', 'outlet', 'starbucks']",0
T c,[],0
Nice taste....,"['nice', 'taste']",0
Gimna mau dapat OTP ?? Sudah resend berkali-kali tpi sms gk ada masuk. Ada cara lain buat sign up ??,"['otp', 'resend', 'berkalikali', 'sms', 'sign', 'up']",-1
Kode OTP nya kok ga masuk masuk ke pesan sih...,"['kode', 'otp', 'pesan']",-1
Rasa kopi nya enak banget,"['kopi', 'banget']",0
Sudah daftar ikutin petunjuk. Mentok2 password invalid🤣🤣🤣🤣🤣. Halooouuuuuuu!!!!!!.#starbuck indonesia#,"['daftar', 'ikut', 'tunjuk', 'mentok', 'password', 'invalid', 'haloouu', 'indonesia']",-1
"Susah join nya, otp nya gak masuk-masuk (via SMS)","['sulit', 'join', 'otp', 'masukmasuk', 'via', 'sms']",-1
aplikasi tidak bisa di buka sama sekali. pake paket data ataupun wifi. tolong segera diperbaiki.,"['aplikasi', 'buka', 'pakai', 'paket', 'data', 'wifi', 'tolong', 'baik']",-1
Susah amat app ini GK jelasss ngajak berantem gw dah tiba² keluar sendiri terus daftar nya susahnya minta ampun,"['sulit', 'app', 'jelass', 'ajak', 'antem', 'daftar', 'susah', 'ampun']",-1
"ga bisa login aplikasi semenjak update, refresh page mulu anjir tolong donk ditindak lanjuti team developer nya","['login', 'aplikasi', 'semenjak', 'refresh', 'page', 'mulu', 'tolong', 'tindak', 'lanjut', 'team', 'developer']",-1
Jos,['jos'],0
sumpah ga bisa ganti pasword.... ga masuk email nyaa... ampunnnn,"['sumpah', 'ganti', 'pasword', 'email', 'ampun']",-1
trash.. i download it 3 times and still cant open the app. it says i dont hv connection. my internet connection is running well. Such a waste of time downloading this app.,"['trash', 'download', 'times', 'still', 'cant', 'open', 'app', 'says', 'dont', 'hv', 'connection', 'internet', 'connection', 'running', 'well', 'such', 'waste', 'time', 'downloading', 'this', 'app']",-1
Saya belon dapat order Starbucks indonisah,"['belon', 'order', 'starbucks', 'indonisah']",-1
"Tiap buka aplikasi selalu konfirmasi kode ke email, RIBET!","['buka', 'aplikasi', 'konfirmasi', 'kode', 'email', 'ribet']",0
Sangat menyenangkan dan hemat waktu menggunakan applikasi ini,"['senang', 'hemat', 'aplikasi']",0
"Lambat ngirimin kode OTP nya lewat email,klo bisa jngn lewat email lgi ngirim otp nya melainkan lewat w'a atau SMS","['lambat', 'ngirimin', 'kode', 'otp', 'emailklo', 'email', 'kirim', 'otp', 'whatsapp', 'sms']",-1
Tempat diskusi yg enak banget ....,"['diskusi', 'banget']",0
Is the best,['best'],0
Kenapa ndak bisa log in dan infonya internal server error,"['indak', 'log', 'info', 'internal', 'server', 'error']",-1
"Sdh berhasil daftar tp ga bisa login, daftar ulang dikatakan email sdh terdaftar, buat lupa password, email reset password tdk ada masuk, pilih login muncul notif internal server error. Berulang kali install re install tetep g bisa juga. Payah...","['hasil', 'daftar', 'login', 'daftar', 'ulang', 'email', 'daftar', 'lupa', 'password', 'email', 'reset', 'password', 'pilih', 'login', 'muncul', 'notif', 'internal', 'server', 'error', 'ulang', 'install', 'install', 'payah']",-1
Happy,['happy'],0
Internal server eror terus!,"['internal', 'server', 'eror']",-1
Setiap log in internal error trs.,"['log', 'internal', 'error']",-1
Menyenangkan,['senang'],0
"Kak saya barusan membuat lagi join up dengan email dan pw yang berbeda tetapi pas di sign in nya malah tidak bisa, kenapa ya ini?","['barusan', 'join', 'up', 'email', 'pw', 'beda', 'pas', 'sign']",-1
ga bisa sing in...internal error mulu masa😏,"['sing', 'ininternal', 'error', 'mulu']",-1
Mau login error mulu,"['login', 'error', 'mulu']",-1
"Karena diinfo kasirnya tuk download Starbucks makanya mau download, belom tahu akan ada manfaat atau tidak. Tapi begitu mau proses registrasi, susahnya minta Ampun, error Mulu, kayak penting banget aja, kayak dibutuhkan banget aja hahaha, langsung DELETE, menyebalkan proses registrasi nya, HAPUSlah gag butuh","['info', 'kasir', 'download', 'starbucks', 'download', 'bom', 'manfaat', 'proses', 'registrasi', 'susah', 'ampun', 'error', 'mulu', 'banget', 'butuh', 'banget', 'hahaha', 'delete', 'sebal', 'proses', 'registrasi', 'hapus', 'butuh']",-1
"Driver gojek & grab yg pernah jadi member platinum pada masanya, syg udh goresto","['driver', 'gojek', 'grab', 'member', 'platinum', 'masa', 'sayang', 'goresto']",0
👍,[],0
Banyakin promo ya...,"['banyak', 'promo']",-1
Kenapa setelah diperbaharui malah aksesnya no wifi terus??? Padahal sinyal n kuotaku penuh,"['baharu', 'akses', 'wifi', 'sinyal', 'kuota', 'penuh']",-1
"Saya tidak bisa sign in sudah beberapa kali coba, padahal jaringan internet bagus, apa solusinya?","['sign', 'coba', 'jaring', 'internet', 'bagus', 'solusi']",-1
Smoga di acc,"['moga', 'acc']",0
"Baru join, kok pas mau sign in gak bisa masuk. Error mulu. Ini gimana ya? Apakah kalo di android emang gak bisa?","['join', 'pas', 'sign', 'error', 'mulu', 'android']",-1
Gak bisa di akses,['akses'],-1
Not good,['not'],0
Free one vintage,"['one', 'vintage']",0
Stelah d update dibuka mesti pake Wifi g bisa kuota hp ... jelek banget,"['buka', 'mesti', 'pakai', 'wifi', 'kuota', 'handphone', 'jelek', 'banget']",-1
Wah saya dapatkartu nya saya dapat makanan dan minuman,"['dapatkartu', 'makan', 'minum']",0
Senang dengan diskon²nya,"['senang', 'diskon']",1
RIBET KALI YA MAU LOGIN AJA.....GA GUNA APLIKASI KAYAK GINI,"['ribet', 'login', 'ajaga', 'aplikasi']",0
Aplikasi ini mempermudah dan membuat saya banyak dpt promo. namun jika batre hp saya habis. maka saya yg susah.,"['aplikasi', 'mudah', 'promo', 'baterai', 'handphone', 'habis', 'sulit']",0
Knp review org² pada gak bagus? Berarti emg gak cocok pny aplikasi spt kopi kenangan yg nyaman di pakai.,"['review', 'bagus', 'cocok', 'aplikasi', 'kopi', 'kenang', 'nyaman', 'pakai']",0
"Setelah di update, ga bisa d bukaa Can't connect to the network terus 😢padahal ada kuota, solusi nya gmn min","['bukaa', 'cant', 'connect', 'network', 'kuota', 'solusi']",-1
Ok,[],0
Kopi susu,"['kopi', 'susu']",0
My Fav cafe 🥰 & coffee,"['favorit', 'cafe', 'coffee']",0
Good Jobs,['jobs'],0
"Setelah diupdate aplikasi malah tidak bisa dibuka terus, selalu tulisannya retry jaringan tidak ada, pdhl sedang connect wifi hufft jd repot cek saldo dan rewardnya","['diupdate', 'aplikasi', 'buka', 'tulis', 'retry', 'jaring', 'connect', 'wifi', 'hufft', 'repot', 'cek', 'saldo', 'rewardnya']",-1
👍,[],0
"kode verifikasi hbs daftar mana gamasuk2 email dh bener, ealah ribet","['kode', 'verifikasi', 'habis', 'daftar', 'gamasuk', 'email', 'ribet']",-1
"Kirain cuma gw doang yg gak bisa login, buat dapet code verifikasi di gmail gak masuk-masuk email nya, mohon di bantu untuk masalahnya","['doang', 'login', 'code', 'verifikasi', 'gmail', 'masukmasuk', 'email', 'bantu']",-1
"Aplikasi tidak bisa dibuka jika menggunakan kuota hp,, kl saya pake WiFi kantor baru bisa. Tdk user friendly stlh diupdate, aplikasi jadi butuh kuota yg besar untuk membukanya. tlng diperbaiki..","['aplikasi', 'buka', 'kuota', 'handphone', 'pakai', 'wifi', 'kantor', 'user', 'friendly', 'diupdate', 'aplikasi', 'butuh', 'kuota', 'buka', 'tlng', 'baik']",-1
Akhirnya setelah tidak bisa dibuka sekarang dah bisa lagi lancar.. terima kasih banyak,"['buka', 'lancar', 'terima', 'kasih']",1
Tetap menjadi idola unk keluargaku BiHiZa,"['idola', 'unk', 'keluarga', 'bihiza']",0
"Kurang kompatibel saat isi pin, malah dikira isi otp, keyboardnya jadi naik turun, tapi apps keuangan lainnya lancar lancar aja Perbaikan masalah sangat cepat, feedback costumer didengar dengan baik","['kompatibel', 'isi', 'isi', 'otp', 'keyboardnya', 'turun', 'apps', 'uang', 'lancar', 'lancar', 'baik', 'cepat', 'feedback', 'costumer', 'dengar']",-1
Buang2 waktu gw aja,['buang'],0
Good,[],0
Apakah Ulasan ini membantu. tolong supaya bisa di cek unek uneknya.,"['ulas', 'bantu', 'tolong', 'cek', 'unek', 'uneknya']",0
Mudah diakses,"['mudah', 'akses']",0
kembangin terus ...,['kembangin'],0
"As long as keren seh,,, cuman ada bbrp outlet yg pelayanan nya lambat meskipun Costumernya kurang","['long', 'keren', 'cuman', 'outlet', 'layan', 'lambat', 'costumernya']",0
"Pokoknya klu mau ngopi ingat starbucks, soalnya ada susu soya😄😄","['pokok', 'ngopi', 'starbucks', 'susu', 'soya']",0
"yassalam , ini aplikasi kok makin ancur fungsionalitas + UI nya awowkwkw, gw mantan developer android starbucks yang dulu pernah nanganin ini aplikasi, perasaan terakhir update UI sign up nya masih rapih dah, ini jadi begajulan lagi wkwkw, mana force close pas di coba","['yassalam', 'aplikasi', 'hancur', 'fungsionalitas', 'ui', 'awowkwkw', 'mantan', 'developer', 'android', 'starbucks', 'nanganin', 'aplikasi', 'asa', 'ui', 'sign', 'up', 'rapi', 'begajulan', 'force', 'close', 'pas', 'coba']",-1
Good saya sering dapat bonus,['bonus'],0
"Jujur sih, buat di hape jadul ga enak bener app nya, aku kasih bintang 5 karena aku yakin kalian masih bisa terus berkembang. 😊👍👍","['jujur', 'handphone', 'jadul', 'app', 'kasih', 'bintang', 'kembang']",-1
Sbucks knp yaa ga bs sign in,"['sbucks', 'sign']",-1
Setelah diperbarui malah ga bs login kembali.,"['baru', 'login']",-1
"Setelah update, malah tidak bisa log in karena ""internal server error"". Coba beberapa kali log in malah tetep tidak bisa dan akun di block 😂","['log', 'internal', 'server', 'error', 'coba', 'log', 'akun', 'block']",-1
Gila sih sekelas starbcuk apps nya kaya gini jeleknya. Ketika apps di buka ga bisa2,"['gila', 'kelas', 'starbcuk', 'apps', 'jelek', 'apps', 'buka']",-1
hari ini sy mo bayar pk starbucks mobile app..tp sm sekali ga bisa di buka..udah di uninstall terus di download lg ttp ga mau terbuka...berat bgt kynya masalah starbucks app ini..,"['bayar', 'pakai', 'starbucks', 'mobile', 'apptp', 'bukaudah', 'uninstall', 'download', 'terbukaberat', 'banget', 'kynya', 'starbucks', 'app']",-1
"Ini kenapa ya, app nya gak bisa dibuka. Sudah update padahal 😞","['app', 'buka']",-1
SB the best...😍😘,"['sb', 'best']",0
Ada problem apa ya kok ngga bisa di buka aplikasi nya?,"['problem', 'buka', 'aplikasi']",-1
mudah dan fungsional,"['mudah', 'fungsional']",0
"adanya Starbucks di sby sangat enjoy utk ngeloby dgn para kolega, juga suasananya sangat nyaman utk share dgn para businessman","['starbucks', 'surabaya', 'enjoy', 'ngeloby', 'kolega', 'suasana', 'nyaman', 'businessman']",0
"Kekurangannya cuma 1 nggak bisa ganti nomor hp kalo udah jadi Member Premium. Rubahlah itu peraturannya, masa mau ganti nomor g bisa","['kurang', 'ganti', 'nomor', 'handphone', 'member', 'premium', 'rubah', 'atur', 'ganti', 'nomor']",-1
Setelah di instal ga bisa ke buka,"['instal', 'buka']",-1
Di update tapi ngga bisa sign in lagi ke aplikasinya dan akibatnya ngga bisa cek saldo dan reward. Begitu beli langsung di counter jumlah reward beda dengan sebelum di update. Adakah solusi untuk hal ini? Hub customer service solusi yg diberikan tidak menjawab masalah.,"['sign', 'aplikasi', 'akibat', 'cek', 'saldo', 'reward', 'beli', 'counter', 'reward', 'beda', 'ada', 'solusi', 'hubung', 'customer', 'service', 'solusi']",-1
"Kemarin tgl 21 juli di suruh up date,langsung saya up date... Eeee...sampe tgl 23 ini aplikasi tdk bisa di buka setelah di up date..","['kemarin', 'tanggal', 'juli', 'suruh', 'up', 'datelangsung', 'up', 'date', 'eeesampe', 'tanggal', 'aplikasi', 'buka', 'up', 'date']",-1
Update jadi ga bisa di buka,['buka'],-1
Habis update terbaru malah ga bisa di buka ngebuk aplikasinya,"['habis', 'baru', 'buka', 'ngebuk', 'aplikasi']",-1
hallo kok setelah pembaruan app gak bisa dibuka yaa???,"['baru', 'app', 'buka']",-1
"Aplikasi tidak bisa di buka setelah update, tolong di perbaiki dan update kembali","['aplikasi', 'buka', 'tolong', 'baik']",-1
"Perasaan Tambah hari gak tambah memudahkan ya, tambah ribet, tambah banyak masalah, sekarang aplikasinya tidak bisa dibuka, padahal masih lumayan saldonya, kacauuu, gimana kalo gini???","['asa', 'mudah', 'ribet', 'aplikasi', 'buka', 'lumayan', 'saldo', 'kacauu']",-1
Kenapa sering log out sendiri,"['log', 'out']",-1
Aplikasi tidak bisa dibuka,"['aplikasi', 'buka']",-1
"Hari ini saya topup saldo ecard saya sebesar 200.000 kenapa tidak masuk ya hiks..saya topup sblm aplikasi diupdate, ketika update ko saldo malah tidak masuk, dan histori tidak muncul padahal di aplikasi sebelumnya ada akan tetapi saldo tidak nambah, gmn solusinya?","['topup', 'saldo', 'ecard', 'hikssaya', 'topup', 'aplikasi', 'diupdate', 'saldo', 'histori', 'muncul', 'aplikasi', 'saldo', 'tambah', 'solusi']",-1
"Parah beud, isi kode / otp masa harus klik kotaknya 1 per 1,","['parah', 'banget', 'isi', 'kode', 'otp', 'klik', 'kotak']",-1
Aplikasi tolol. Verifikasi aja di persulit!,"['aplikasi', 'tolol', 'verifikasi', 'sulit']",-1
